#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-19T11:32:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-19T11:32:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=J/A+A/552/A64/table4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35520064
#Name: J/A+A/552/A64
#Title: Gaia-RVS standards (Soubiran+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/552/a64	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2013A&A...552A..64S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/552/A64	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35520064	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_552_A64_table4:
#Name: J/A+A/552/A64/table4
#Title: Mean radial velocities in SOPHIE scale
#Column	HIP	(I6)	HIP number (Cat. I/311)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (ICRS, Epoch=J1991.25)	[ucd=pos.eq.ra]
#Column	DEJ2000	(A11)	Declination (ICRS, Epoch=J1991.25)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a10)	MK spectral type	[ucd=src.spType]
#Column	Cat	(a9)	Catalogue of origin (1)	[ucd=meta.ref;meta.table]
#Column	RV	(F8.3)	? Mean Radial Velocity in SOPHIE scale	[ucd=phys.veloc;pos.heliocentric]
#Column	eRV	(F7.4)	? Internal error of RV	[ucd=stat.error]
#Column	sRV	(F7.4)	? Standard deviation of RV	[ucd=stat.error]
#Column	VC	(A2)	Plot of velocity points (if 10 points or more)	[ucd=meta.ref.url]
#Column	N	(I3)	? Number of RV measurements	[ucd=meta.number]
#Column	e_RV	(F7.4)	? Uncertainty of RV	[ucd=stat.error]
#Column	Tbase	(I5)	? Time baseline of the N observations	[ucd=time.interval]
#Column	JDm	(I5)	? Mean Julian Day of observations (JD-2400000)	[ucd=time.epoch;stat.mean]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F10.6)	Right Ascension (J2000) from I/239/hip_main	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Declination (J2000) from I/239/hip_main	[ucd=pos.eq.dec;meta.main]
HIP;RAJ2000;DEJ2000;Vmag;B-V;SpType;Cat;RV;eRV;sRV;VC;N;e_RV;Tbase;JDm;Simbad;_RA;_DE
 24864;05 19 49.02;+02 30 49.9; 7.00; 0.531;F8V       ;ni,nor   ;  35.390; 0.0102; 0.0183;VC; 10; 0.0058; 2507;51782;Simbad;079.954329;+02.513611
 25002;05 21 12.98;-14 09 09.1; 7.68; 0.636;G6V       ;nor      ;  -4.035; 0.0083; 0.0271;VC;  6; 0.0111; 4031;54439;Simbad;080.303997;-14.152451
 25064;05 21 57.08;+42 17 09.6; 6.98; 1.050;K0        ;fa       ;  -1.146; 0.0092; 0.0527;VC;  3; 0.0304;  935;55290;Simbad;080.487800;+42.285995
 25094;05 22 19.51;+59 16 43.0; 7.09; 0.750;G5        ;ni,nor   ; -23.435; 0.0081; 0.0240;VC;  3; 0.0138; 1936;54711;Simbad;080.582349;+59.277912
 25226;05 23 43.30;+56 05 20.0; 6.85; 1.098;K0II-III  ;fa       ; -41.537; 0.0080; 0.0099;VC;  2; 0.0070;  732;54767;Simbad;080.930469;+56.088898
 25351;05 25 19.28;-75 41 29.9; 7.17; 0.538;F8V       ;nor      ;  46.255; 0.0097; 0.0219;VC;  4; 0.0110; 3624;53708;Simbad;081.329302;-75.692401
 25388;05 25 53.29;-06 21 45.5; 7.49; 0.572;F8        ;ni,nor   ;  27.269; 0.0145; 0.0498;VC;  4; 0.0249; 1483;55145;Simbad;081.471716;-06.362679
 25408;05 26 05.24;-30 40 23.2; 8.80; 0.756;G8V       ;nor      ;  49.604; 0.0118; 0.0226;VC;  2; 0.0160;  730;55147;Simbad;081.521953;-30.673012
 25616;05 28 21.11;-22 26 03.4; 6.78; 0.590;G3V       ;nor      ;  28.968; 0.0075; 0.0033;VC;  4; 0.0037; 3727;53426;Simbad;082.087616;-22.433927
 25670;05 28 59.18;-17 25 44.6; 8.27; 0.657;G5V       ;nor      ;  -9.400; 0.0080; 0.0181;VC;  4; 0.0091; 3680;53432;Simbad;082.246367;-17.429239
 25840;05 30 59.84;-10 04 49.1; 6.95; 0.561;G0        ;nor      ;  23.219; 0.0081; 0.0076;VC;  5; 0.0036; 3261;53765;Simbad;082.749751;-10.081087
 25873;05 31 23.44;+12 33 23.1; 8.40; 0.814;G5        ;nor      ;  26.193; 0.0090; 0.0205;VC; 11; 0.0062; 2157;55241;Simbad;082.848108;+12.556091
 25965;05 32 22.04;+19 07 21.3; 7.49; 0.501;F7IV      ;nor      ; -47.874; 0.0104; 0.0269;VC;  2; 0.0190;  358;55081;Simbad;083.091800;+19.122437
 25973;05 32 33.68;+57 13 17.8; 6.44; 0.587;F8V       ;nor      ;  33.264; 0.0147; 0.0160;VC; 21; 0.0035; 4400;51530;Simbad;083.140836;+57.221071
 26030;05 33 13.58;-65 01 22.9; 8.60; 0.594;G1V       ;nor      ;  37.708; 0.0070; 0.0038;VC;  3; 0.0040; 2521;54202;Simbad;083.307049;-65.022692
 26273;05 35 41.07;-27 37 13.1; 8.22; 0.707;G5V       ;ni,nor   ;  12.535; 0.0122; 0.0099;VC;  2; 0.0086;  730;55147;Simbad;083.921181;-27.620828
 26335;05 36 30.99;+11 19 40.8; 8.78; 1.415;K7        ;ni       ;  21.772; 0.0059; 0.1094;VC; 30; 0.0200; 5852;53778;Simbad;084.129127;+11.327866
 26737;05 40 52.01;-31 21 00.8; 7.84; 0.648;G5V       ;ni,nor   ;   3.216; 0.0080; 0.0093;VC;  4; 0.0046; 3776;53887;Simbad;085.216528;-31.351108
 26973;05 43 26.41;-47 49 24.6; 8.52; 0.861;K0V       ;nor      ;  26.600; 0.0057; 0.0147;VC; 13; 0.0041; 4085;54451;Simbad;085.860236;-47.822975
 26977;05 43 28.57;-25 37 19.1; 8.70; 0.697;G8/K0V+...;nor      ;  -7.725; 0.0133; 0.0106;VC;  2; 0.0094;  730;55147;Simbad;085.868959;-25.622089
 27021;05 43 52.67;-21 16 47.2; 7.10; 0.531;F8/G0V    ;nor      ;  42.447; 0.0076; 0.0072;VC;  4; 0.0038; 2988;54351;Simbad;085.969979;-21.279737
 27058;05 44 17.56;-10 00 59.0; 7.11; 0.637;G0        ;nor      ;  32.741; 0.0077; 0.0083;VC;  5; 0.0037; 3726;53615;Simbad;086.073320;-10.016732
 27281;05 46 52.67;-28 53 23.8; 7.54; 0.553;F7V       ;nor      ; -11.206; 0.0149; 0.0120;VC;  2; 0.0106;  730;55147;Simbad;086.719273;-28.890216
 27417;05 48 20.08;-24 27 49.5; 7.80; 0.566;G1V       ;nor      ;   3.461; 0.0103; 0.0160;VC;  4; 0.0080; 4472;53998;Simbad;087.083577;-24.463851
 27455;05 48 47.33;-42 19 32.6; 8.32; 0.563;G0V       ;nor      ;   0.438; 0.0160; 0.0097;VC;  3; 0.0092; 1106;55392;Simbad;087.197060;-42.325792
 27501;05 49 24.80;+35 58 54.7; 8.28; 0.559;F8        ;nor      ; -53.536; 0.0107; 0.0141;VC;  2; 0.0100;  359;55081;Simbad;087.353372;+35.981756
 27578;05 50 27.34;-43 42 00.5; 8.71; 0.678;G6V       ;nor      ;  31.524; 0.0146; 0.0106;VC;  2; 0.0103;  732;55146;Simbad;087.614044;-43.699642
 27691;05 51 45.71;-40 08 47.6; 8.17; 0.781;G8V       ;nor      ; -29.582; 0.0142; 0.0120;VC;  2; 0.0100; 1102;55331;Simbad;087.940412;-40.146528
 27849;05 53 30.90;-16 15 53.2; 7.28; 0.543;F8/G0V    ;nor      ;   5.134; 0.0234; 0.0269;VC;  3; 0.0155; 1106;55516;Simbad;088.378659;-16.265007
 27887;05 54 04.30;-60 01 24.0; 7.17; 0.935;K3V       ;nor      ;  31.334; 0.0080; 0.0023;VC;  4; 0.0040; 4384;53913;Simbad;088.517671;-60.023472
 27918;05 54 28.53;+02 08 37.7; 8.84; 1.014;K3V       ;ni       ; -33.739; 0.0120; 0.0122;VC;  4; 0.0061; 5548;51614;Simbad;088.619071;+02.142232
 27923;05 54 31.08;-55 50 39.7; 9.10; 0.720;G6V       ;nor      ;  36.651; 0.0063; 0.0025;VC;  4; 0.0031; 1304;54954;Simbad;088.629364;-55.843845
 27980;05 55 02.02;-00 30 28.3; 7.65; 0.629;G0III     ;nor      ;  24.867; 0.0102; 0.0364;VC;  6; 0.0148; 3979;53170;Simbad;088.758162;-00.507971
 28044;05 55 50.42;-00 53 09.8; 8.26; 0.767;G5III     ;nor      ; -60.828; 0.0091; 0.0279;VC;  5; 0.0125; 1108;55042;Simbad;088.960055;-00.886462
 28241;05 58 03.73;-35 48 00.7; 8.26; 0.588;G2/G3V    ;nor      ;  18.784; 0.0143; 0.0962;VC;  2; 0.0680; 1103;55331;Simbad;089.515491;-35.800339
 28417;06 00 06.05;+27 16 20.5; 6.61; 1.022;K1III     ;fa       ; 100.241; 0.0088; 0.0545;VC;  3; 0.0315;  936;55290;Simbad;090.025162;+27.272188
 28516;06 01 09.55;-31 43 35.4; 8.46; 0.622;G0V       ;nor      ;  33.194; 0.0126; 0.0016;VC;  3; 0.0073;  719;55645;Simbad;090.289789;-31.726486
 28661;06 03 07.98;+47 59 17.0; 7.34; 1.169;K0        ;fa       ;  32.048; 0.0084; 0.0481;VC;  3; 0.0278;  707;55409;Simbad;090.783186;+47.987837
 28869;06 05 42.08;-61 44 55.0; 7.84; 0.595;G0V       ;nor      ;  -5.115; 0.0091; 0.0072;VC;  4; 0.0045; 3713;53258;Simbad;091.425067;-61.748579
 29140;06 08 47.72;-06 49 17.0; 6.46; 0.876;G5        ;nor      ;  49.178; 0.0074; 0.0066;VC;  4; 0.0037; 1083;55597;Simbad;092.198761;-06.821373
 29295;06 10 34.70;-21 51 46.5; 8.15; 1.487;M1/M2V    ;ni,nor   ;   4.892; 0.0088; 0.0130;VC;  5; 0.0058; 2167;54935;Simbad;092.644231;-21.864643
 29432;06 12 00.45;+06 47 01.3; 6.85; 0.642;G4V       ;ni,nor   ; -53.440; 0.0047; 0.0139;VC; 43; 0.0021; 4416;53120;Simbad;093.002360;+06.783074
 29525;06 13 12.46;+10 37 40.3; 6.43; 0.663;G8V       ;nor      ;   6.100; 0.0088; 0.0293;VC; 68; 0.0036; 6122;53342;Simbad;093.302095;+10.627144
 29573;06 13 52.72;+02 48 34.2; 7.41; 0.992;K0        ;fa       ; -25.549; 0.0097; 0.0182;VC;  2; 0.0129; 3023;53749;Simbad;093.469817;+02.808856
 29596;06 14 13.92;-49 48 56.4; 8.81; 0.712;G6V       ;nor      ; -29.173; 0.0125; 0.0099;VC;  2; 0.0089; 1101;55332;Simbad;093.558403;-49.816200
 29673;06 15 06.05;-71 42 10.4; 6.62; 0.562;F8V       ;nor      ;  13.626; 0.0074; 0.0040;VC;  4; 0.0037; 3718;53178;Simbad;093.775083;-71.702768
 29761;06 16 02.70;+70 46 57.6; 7.43; 0.776;G5        ;ni,nor   ;  19.776; 0.0090; 0.0035;VC;  3; 0.0052; 4745;53993;Simbad;094.011165;+70.781576
 29777;06 16 12.55;+56 56 05.3; 7.48; 0.599;G0        ;nor      ;  22.463; 0.0099; 0.0123;VC;  4; 0.0061; 1926;54186;Simbad;094.051348;+56.934358
 29829;06 16 52.92;-18 36 24.4; 7.48; 0.605;G0V       ;nor      ;  78.256; 0.0138; 0.6548;VC;  2; 0.4630;  728;55146;Simbad;094.220198;-18.606727
 29864;06 17 18.69;+64 49 55.0; 7.26; 1.032;K0        ;fa       ;  28.241; 0.0082; 0.0035;VC;  2; 0.0058;  358;55081;Simbad;094.327936;+64.831845
 30050;06 19 22.56;-66 03 35.9; 8.39; 0.524;F7w...    ;nor      ;  26.234; 0.0198; 0.0573;VC;  2; 0.0405;  331;56046;Simbad;094.843588;-66.060272
 30067;06 19 40.18;+16 00 47.8; 6.61; 0.562;F8V       ;ni,nor   ;  40.579; 0.0050; 0.0121;VC; 26; 0.0024; 4105;52826;Simbad;094.917385;+16.013249
 30104;06 20 05.93;-48 44 25.6; 6.61; 0.657;G4V       ;nor      ;  59.758; 0.0075; 0.0081;VC;  4; 0.0041; 4212;53812;Simbad;095.025566;-48.741093
 30179;06 21 00.10;-78 24 43.8; 8.33; 0.595;G0V       ;nor      ;  22.764; 0.0166; 0.0100;VC;  3; 0.0096; 1104;55517;Simbad;095.250045;-78.412206
 30232;06 21 37.38;-18 09 59.2; 7.73; 0.619;G3/G5V    ;nor      ;  20.851; 0.0076; 0.0018;VC;  4; 0.0038; 4501;54007;Simbad;095.405623;-18.166686
 30243;06 21 43.54;-00 32 19.5; 7.63; 0.686;G4V       ;ni,nor   ;  -0.466; 0.0064; 0.0194;VC;  7; 0.0073; 4029;54051;Simbad;095.431399;-00.539127
 30476;06 24 24.41;-42 50 57.9; 6.67; 0.673;G5V       ;nor      ;  56.446; 0.0071; 0.0083;VC;  4; 0.0041; 4171;53839;Simbad;096.101458;-42.847518
 30503;06 24 43.99;-28 46 47.4; 6.37; 0.626;G2V       ;ni,nor   ;  -3.780; 0.0069; 0.0064;VC;  4; 0.0035; 3673;53455;Simbad;096.182832;-28.780112
 30747;06 27 40.31;+30 38 42.8; 6.95; 1.192;K0IV      ;fa       ;  31.493; 0.0081; 0.0156;VC;  2; 0.0110;  360;55080;Simbad;096.917967;+30.645177
 30845;06 28 40.33;-50 04 52.8; 8.26; 0.582;G0V       ;nor      ; -12.682; 0.0162; 0.0062;VC;  4; 0.0081; 1104;55609;Simbad;097.167969;-50.081377
 30860;06 28 45.74;+38 57 47.1; 7.89; 0.740;G5        ;ni,nor   ; -20.645; 0.0081; 0.0064;VC;  2; 0.0058;  834;54483;Simbad;097.190459;+38.962963
 30862;06 28 46.25;+36 28 49.9; 7.15; 0.613;G0        ;ni,nor   ;  -5.289; 0.0139; 0.0197;VC; 11; 0.0060; 4170;51589;Simbad;097.191801;+36.479985
 30911;06 29 17.21;+39 38 53.5; 7.89; 0.637;G0        ;nor      ;  15.181; 0.0085; 0.0063;VC;  3; 0.0049;  861;54975;Simbad;097.321731;+39.647941
 31134;06 31 56.82;-68 42 31.6; 8.27; 0.781;G8/K0V    ;nor      ;  42.956; 0.0078; 0.0034;VC;  4; 0.0039; 4073;54025;Simbad;097.986388;-68.709866
 31207;06 32 48.11;-55 04 45.4; 8.10; 0.554;F6V       ;nor      ;   0.366; 0.0199; 0.0318;VC;  2; 0.0225; 1101;55332;Simbad;098.200483;-55.079537
 31415;06 35 02.97;-12 36 26.2; 7.70; 0.510;F6V       ;nor      ;  -7.479; 0.0115; 0.0137;VC;  5; 0.0061; 1136;55238;Simbad;098.762631;-12.607659
 31473;06 35 33.65;+76 51 59.4; 8.14; 0.687;G5        ;nor      ; -16.379; 0.0052; 0.0113;VC;  6; 0.0046; 4425;54074;Simbad;098.889818;+76.866355
 31965;06 40 49.04;+51 58 44.5; 7.60; 0.672;G0        ;nor      ;  27.817; 0.0170; 0.0461;VC; 18; 0.0109; 2262;51618;Simbad;100.204335;+51.978326
 32045;06 41 42.95;-33 28 11.1; 8.49; 1.050;K5        ;IAU_std  ;  40.722; 0.0065; 0.0145;VC; 16; 0.0036; 1082;53897;Simbad;100.428977;-33.469754
 32103;06 42 23.36;-61 13 31.1; 8.53; 0.755;G5/G6IV/V ;nor      ;  27.167; 0.0062; 0.0114;VC; 11; 0.0034; 2522;54175;Simbad;100.596856;-61.224967
 32251;06 44 01.44;-42 42 54.2; 8.53; 0.685;G5V       ;nor      ;  16.981; 0.0075; 0.0044;VC;  4; 0.0038; 3348;54398;Simbad;101.005718;-42.714537
 32255;06 44 09.26;-10 59 58.1; 8.87; 0.676;G5        ;nor      ;  -7.496; 0.0103; 0.0227;VC;  5; 0.0101; 1136;55238;Simbad;101.038527;-10.999933
 32261;06 44 11.48;+53 17 47.1; 6.28; 1.089;K0        ;fa       ;  18.731; 0.0080; 0.0085;VC;  2; 0.0060;  861;54831;Simbad;101.047961;+53.295939
 32262;06 44 11.49;+34 10 00.6; 8.47; 0.567;G0        ;nor      ;  37.805; 0.0100; 0.0073;VC;  2; 0.0071; 2064;54099;Simbad;101.047946;+34.166643
 32322;06 44 51.96;-27 20 32.6; 6.43; 0.550;F7V       ;ni,nor   ; -10.521; 0.0064; 0.0071;VC;  9; 0.0024; 4429;53698;Simbad;101.216467;-27.341666
 32460;06 46 29.72;-82 11 07.5; 8.61; 0.537;F6/F7V    ;nor      ;  43.734; 0.0240; 0.0113;VC;  2; 0.0170; 1100;55333;Simbad;101.623920;-82.185494
 32725;06 49 35.98;+60 09 47.0; 8.39; 0.512;G0        ;nor      ; -11.011; 0.0091; 0.0474;VC;  2; 0.0335;  511;55006;Simbad;102.399806;+60.162925
 32842;06 50 45.48;-29 26 51.2; 7.98; 0.665;G3V       ;nor      ;  59.972; 0.0118; 0.0099;VC;  2; 0.0083; 1100;55333;Simbad;102.689497;-29.447552
 32874;06 51 00.42;+25 45 39.0; 6.98; 0.600;F8        ;ni,nor   ;   6.734; 0.0048; 0.0138;VC; 39; 0.0022; 5043;53779;Simbad;102.751783;+25.760360
 32916;06 51 30.49;+40 52 05.0; 8.10; 0.729;G0        ;ni,nor   ;  12.097; 0.0083; 0.0240;VC;  3; 0.0139; 1509;55072;Simbad;102.877152;+40.867756
 32917;06 51 30.63;-59 42 34.6; 9.12; 0.773;G6V       ;nor      ;  23.088; 0.0117; 0.0007;VC;  2; 0.0083; 1100;55333;Simbad;102.877784;-59.709547
 32962;06 51 55.87;+10 48 01.8; 7.65; 0.588;F9V       ;nor      ;  66.319; 0.0056; 0.0099;VC; 13; 0.0028; 2375;54023;Simbad;102.982596;+10.800594
 32970;06 52 02.07;-33 54 56.6; 7.21; 0.614;G1V       ;ni,nor   ;  36.820; 0.0081; 0.0383;VC;  4; 0.0191; 4344;53991;Simbad;103.008435;-33.915560
 33072;06 53 16.56;-74 43 32.2; 7.64; 0.525;F8V+...   ;nor      ;   5.287; 0.0152; 0.0014;VC;  2; 0.0108; 1100;55333;Simbad;103.318487;-74.725186
 33094;06 53 33.76;-28 32 19.4; 6.05; 0.708;G3/G5V    ;ni,nor   ;  72.465; 0.0062; 0.0058;VC;  5; 0.0028; 3634;53310;Simbad;103.391429;-28.539794
 33212;06 54 42.85;+24 14 44.9; 6.84; 0.582;F8        ;ni,nor   ;  -3.787; 0.0159; 0.0749;VC; 52; 0.0104; 4129;52060;Simbad;103.678439;+24.245559
 33229;06 54 51.37;-55 15 32.2; 8.17; 0.771;G7V       ;nor      ;  39.956; 0.0075; 0.0170;VC;  4; 0.0085; 4384;53910;Simbad;103.713922;-55.259329
 33271;06 55 15.21;+45 49 35.7; 6.31; 0.945;K0III-IV  ;fa       ;  27.609; 0.0080; 0.0311;VC;  2; 0.0220;  860;54832;Simbad;103.813280;+45.826408
 33275;06 55 17.44;+05 54 37.7; 7.60; 0.518;F8        ;nor      ; -14.218; 0.0102; 0.0365;VC;  6; 0.0149; 3212;54750;Simbad;103.822654;+05.910459
 33371;06 56 23.24;-57 34 33.4; 7.69; 0.612;G1V       ;nor      ;  30.523; 0.0138; 0.0106;VC;  2; 0.0098; 1100;55333;Simbad;104.097014;-57.576335
 33382;06 56 34.19;+01 09 48.6; 7.41; 0.690;G8V       ;ni,nor   ;  -8.025; 0.0161; 0.0343;VC; 18; 0.0081; 2537;51634;Simbad;104.142438;+01.162084
 33580;06 58 37.89;+51 52 03.8; 8.06; 0.679;G0        ;nor      ;   0.353; 0.0061; 0.0079;VC;  8; 0.0028; 2444;54576;Simbad;104.657226;+51.867207
 33582;06 58 38.34;-00 28 44.4; 9.02; 0.579;G0        ;nor      ; -94.239; 0.0056; 0.0088;VC; 25; 0.0018; 1139;54907;Simbad;104.660577;-00.480471
 33642;06 59 19.90;-39 35 34.5; 8.78; 0.619;G3V       ;nor      ;  82.899; 0.0125; 0.8457;VC;  2; 0.5980; 1100;55333;Simbad;104.832753;-39.592472
 33719;07 00 18.10;-05 22 02.5; 6.29; 0.572;G0III-IV  ;ni,nor   ;  53.885; 0.0072; 0.0363;VC;  6; 0.0148; 4456;53949;Simbad;105.075151;-05.367162
 33799;07 01 04.52;-21 57 53.2; 7.66; 0.534;G1V       ;nor      ;  62.652; 0.0098; 0.0110;VC;  4; 0.0055; 4305;54278;Simbad;105.268792;-21.964658
 34020;07 03 31.71;-77 56 35.4; 8.21; 0.563;F7V       ;nor      ;   7.385; 0.0262; 0.0311;VC;  2; 0.0220; 1100;55333;Simbad;105.881659;-77.943135
 34024;07 03 33.51;+71 45 28.8; 7.15; 0.521;F8        ;nor      ; -14.755; 0.0097; 0.0594;VC;  2; 0.0420;  861;54831;Simbad;105.889873;+71.758128
 34320;07 06 53.36;+55 11 23.0; 8.34; 0.607;F8        ;nor      ;   8.087; 0.0101; 0.0161;VC;  4; 0.0081; 2029;54787;Simbad;106.722250;+55.189458
 34503;07 08 55.17;+65 57 54.1; 8.68; 0.657;G5        ;nor      ; -34.023; 0.0083; 0.0304;VC;  2; 0.0215;  861;54831;Simbad;107.229684;+65.964981
 34511;07 09 05.05;+15 25 20.2; 8.00; 0.631;G0        ;nor      ;  43.251; 0.0076; 0.0173;VC;  8; 0.0061; 2167;54232;Simbad;107.270652;+15.421586
 34540;07 09 22.15;+16 32 59.4; 7.77; 0.559;F8        ;nor      ;   7.406; 0.0100; 0.0342;VC;  2; 0.0242; 2064;54100;Simbad;107.341967;+16.549506
 34572;07 09 37.78;+60 47 31.9; 6.64; 1.087;K0        ;fa       ;   0.596; 0.0080; 0.0219;VC;  2; 0.0155;  498;54650;Simbad;107.407378;+60.792087
 34710;07 11 17.76;-12 02 28.3; 7.13; 0.671;G5        ;nor      ;  71.271; 0.0094; 0.0117;VC;  4; 0.0058; 1137;55233;Simbad;107.824082;-12.041358
 34879;07 13 02.73;-24 13 33.0; 7.17; 0.660;G1V       ;nor      ;  32.479; 0.0065; 0.0027;VC;  5; 0.0029; 3624;53301;Simbad;108.261139;-24.225575
 35096;07 15 29.23;-48 13 49.4; 7.67; 0.604;G2V       ;nor      ;  14.658; 0.0078; 0.0072;VC;  4; 0.0039; 4065;53962;Simbad;108.871307;-48.230007
 35209;07 16 36.39;+01 52 44.6; 7.34; 0.609;G0        ;ni,nor   ;   8.184; 0.0154; 0.0372;VC; 14; 0.0100; 5370;51614;Simbad;109.151784;+01.878768
 35265;07 17 09.57;+33 05 32.9; 6.93; 0.631;G0        ;ni,nor   ;  22.605; 0.0050; 0.0155;VC; 31; 0.0028; 5065;52897;Simbad;109.289719;+33.092054
 35318;07 17 42.77;-54 29 55.4; 9.27; 0.513;F8w...    ;nor      ;  92.349; 0.0194; 0.0141;VC;  2; 0.0137; 1100;55333;Simbad;109.428180;-54.498830
 35472;07 19 20.80;+51 29 37.1; 7.82; 0.543;F8        ;nor      ;   5.658; 0.0096; 0.0206;VC;  5; 0.0092; 2504;54714;Simbad;109.836593;+51.493535
 35520;07 19 54.86;+46 58 21.3; 8.27; 0.649;G5        ;nor      ;  24.324; 0.0092; 0.0111;VC;  3; 0.0064; 1086;55113;Simbad;109.978439;+46.972246
 35759;07 22 33.86;+29 49 28.5; 7.69; 1.093;K1III     ;fa       ; -30.588; 0.0086; 0.0344;VC;  3; 0.0199;  707;55410;Simbad;110.641078;+29.824352
 35872;07 23 47.02;+12 57 56.7; 8.19; 0.959;G5        ;nor      ;  37.952; 0.0061; 0.0212;VC;  7; 0.0080; 2146;54529;Simbad;110.946110;+12.964717
 36111;07 26 19.82;+29 58 08.2; 9.39; 1.157;K0        ;fa       ; -36.599; 0.0096; 0.0478;VC;  3; 0.0276; 1087;55114;Simbad;111.582581;+29.968931
 36210;07 27 25.73;-51 24 09.3; 6.72; 0.694;G5IV-V    ;nor      ;   4.904; 0.0078; 0.0069;VC;  4; 0.0039; 4394;53891;Simbad;111.856110;-51.402601
 36249;07 27 50.71;+19 02 41.9; 7.24; 0.734;G5        ;ni,nor   ;   5.064; 0.0143; 0.0367;VC; 16; 0.0092; 4389;51847;Simbad;111.961588;+19.044795
 36457;07 30 05.97;-39 34 59.3; 8.48; 0.600;F8V       ;nor      ;  24.960; 0.0187; 0.0156;VC;  2; 0.0132;  330;56047;Simbad;112.524826;-39.583047
 36512;07 30 39.99;-15 59 39.6; 7.73; 0.637;G5V       ;nor      ;   8.426; 0.0097; 0.0200;VC;  4; 0.0100; 1130;55249;Simbad;112.666723;-15.994588
 36654;07 32 20.54;-49 50 55.1; 8.88; 0.691;G6V       ;nor      ;  17.524; 0.0126; 0.0035;VC;  2; 0.0089; 1099;55333;Simbad;113.085607;-49.848074
 36704;07 33 00.62;+37 01 47.4; 7.68; 0.863;G5        ;ni,nor   ; -15.615; 0.0302; 0.3510;VC;  4; 0.1755; 2887;52099;Simbad;113.252418;+37.029844
 36809;07 34 13.21;-16 11 17.1; 6.72; 0.610;G2V       ;nor      ;  36.306; 0.0094; 0.0115;VC;  3; 0.0067; 1099;55414;Simbad;113.554820;-16.187768
 36906;07 35 16.13;+40 30 23.0; 7.68; 0.662;G0        ;nor      ;  -1.403; 0.0086; 0.3564;VC;  2; 0.2520;  558;54851;Simbad;113.817165;+40.506418
 36954;07 35 50.49;+73 16 30.5; 8.51; 0.808;G5        ;nor      ; -28.269; 0.0083; 0.0120;VC;  2; 0.0085;  510;55008;Simbad;113.961381;+73.275949
 37172;07 38 17.97;+42 27 36.5; 7.93; 0.601;F8        ;nor      ;  48.719; 0.0100; 0.3525;VC;  2; 0.2493; 2196;54164;Simbad;114.574782;+42.459769
 37327;07 39 45.74;-12 30 44.6; 8.30; 0.638;G3V       ;nor      ;  58.427; 0.0123; 0.0475;VC;  4; 0.0238; 1131;55325;Simbad;114.940459;-12.512776
 37390;07 40 30.55;-33 25 35.5; 7.32; 0.543;F7V       ;nor      ;  37.041; 0.0168; 0.5819;VC;  2; 0.4115; 1099;55333;Simbad;115.127139;-33.426177
 37636;07 43 22.19;+22 23 58.0; 6.25; 0.930;K0III     ;fa       ;  -1.759; 0.0095; 0.5287;VC;  2; 0.3738; 2185;54037;Simbad;115.842420;+22.399472
 37722;07 44 13.86;+20 12 06.2; 7.35; 0.685;G5        ;nor      ;  -9.256; 0.0128; 0.0185;VC; 13; 0.0051; 4362;52019;Simbad;116.057914;+20.201457
 37732;07 44 19.76;-05 03 19.5; 7.72; 0.612;G1V       ;nor      ;  83.661; 0.0085; 0.0405;VC;  5; 0.0181; 4845;53395;Simbad;116.082271;-05.054944
 37930;07 46 23.36;-61 25 51.0; 7.38; 0.758;G5V       ;nor      ;  28.679; 0.0115; 0.0134;VC;  2; 0.0095; 1100;55334;Simbad;116.597012;-61.430152
